prob_dead_neurons,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_max_mean,pos_error_num_cat_mean,pos_error_num_cat_median,pos_error_num_cat_q1,pos_error_num_cat_q3,pos_error_num_cat_whishi,pos_error_num_cat_whislo,mean_field_activity_mean,mean_field_activity_min,mean_field_activity_max,mean_field_activity_std,mean_field_activity_median,mean_field_activity_q1,mean_field_activity_q3,mean_field_activity_whishi,mean_field_activity_whislo,perc_correct_fields_mean,perc_correct_fields_min,perc_correct_fields_max,perc_correct_fields_std,perc_correct_fields_median,perc_correct_fields_q1,perc_correct_fields_q3,perc_correct_fields_whishi,perc_correct_fields_whislo,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_std,avg_num_fields_active_per_neuron_mean,avg_num_fields_active_per_neuron_std,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,activity_false_positives_num_mean,activity_false_positives_num_min,activity_false_positives_num_max,activity_false_positives_num_std,activity_false_positives_num_median,activity_false_positives_num_q1,activity_false_positives_num_q3,activity_false_positives_num_whishi,activity_false_positives_num_whislo,activity_false_negatives_num_mean,activity_false_negatives_num_min,activity_false_negatives_num_max,activity_false_negatives_num_std,activity_false_negatives_num_median,activity_false_negatives_num_q1,activity_false_negatives_num_q3,activity_false_negatives_num_whishi,activity_false_negatives_num_whislo,perc_unique_field_combinations_mean,perc_unique_field_combinations_min,perc_unique_field_combinations_max,perc_unique_field_combinations_std,perc_unique_field_combinations_median,perc_unique_field_combinations_q1,perc_unique_field_combinations_q3,perc_unique_field_combinations_whishi,perc_unique_field_combinations_whislo,weighted_avg_activity_mean,weighted_avg_activity_std,weighted_avg_activity_median,weighted_avg_activity_q1,weighted_avg_activity_q3,weighted_avg_activity_whishi,weighted_avg_activity_whislo
0.5,15.46,10.818,21.85,2.453,15.015,13.927,16.937,18.408,10.818,36.079,30.037,42.748,3.063,35.742,34.094,38.628,42.748,30.037,0.0,181.05,82.25,79.5,74.75,88.75,109,61,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.871,0.861,0.883,0.006,0.871,0.868,0.874,0.883,0.861,140.6,0.0,69.655,0.18,56.4,0.0,4990.8,4938,5069,32.784,4986.0,4966.0,5016.25,5069,4938,5017.1,4939,5063,28.212,5020.5,5001.5,5036.0,5063,4981,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,70.531,0.209,70.567,70.386,70.654,70.99,70.126
0.55,22.322,13.433,35.066,4.34,22.463,20.203,24.213,26.827,16.312,41.473,33.816,49.863,3.642,41.45,39.016,43.059,47.865,33.816,0.0,182.0,117.15,117.0,106.5,127.0,142,82,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.871,0.858,0.883,0.006,0.871,0.868,0.875,0.883,0.858,140.6,0.0,64.009,0.229,56.4,0.0,4588.6,4519,4642,27.547,4593.5,4576.75,4604.0,4642,4537,5422.6,5364,5512,33.305,5422.0,5398.5,5441.5,5468,5364,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,64.784,0.222,64.759,64.644,64.931,65.263,64.279
0.6,32.065,25.207,51.419,5.433,30.985,29.367,32.602,36.328,25.207,45.562,38.977,55.463,3.361,45.669,43.474,46.819,49.039,38.977,0.0,184.575,174.95,165.5,157.75,184.25,192,136,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.873,0.861,0.889,0.009,0.873,0.865,0.881,0.889,0.861,140.6,0.0,55.68,0.165,56.4,0.0,3998.65,3939,4089,35.22,4002.0,3980.25,4017.0,4040,3939,6041.15,5991,6118,30.421,6038.0,6025.25,6055.25,6083,5991,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,56.325,0.18,56.328,56.184,56.494,56.569,55.902
0.65,38.281,32.321,45.52,3.76,39.035,34.592,40.825,45.52,32.321,47.43,39.688,52.129,3.092,47.211,45.574,49.961,52.129,39.688,0.0,185.225,210.75,212.0,195.25,224.25,246,181,0.028,0.028,0.028,0.0,0.028,0.028,0.028,0.028,0.028,0.872,0.862,0.883,0.006,0.872,0.868,0.877,0.883,0.862,140.6,0.0,50.088,0.201,56.4,0.0,3588.25,3522,3646,27.869,3587.5,3576.0,3603.5,3621,3541,6426.5,6375,6494,36.563,6421.0,6392.5,6456.5,6494,6375,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,50.678,0.219,50.65,50.515,50.839,51.059,50.345
0.7,51.332,42.011,66.104,5.994,49.172,47.063,54.482,64.442,42.011,50.024,43.717,55.691,3.447,49.811,47.729,52.745,55.691,43.717,0.0,187.525,274.4,275.0,262.25,284.0,312,250,0.028,0.028,0.029,0.0,0.028,0.028,0.028,0.029,0.028,0.869,0.851,0.887,0.01,0.87,0.86,0.875,0.887,0.851,140.6,0.0,41.798,0.198,56.4,0.0,2982.8,2949,3064,31.628,2973.0,2954.0,3007.0,3064,2949,7020.75,6951,7067,32.971,7029.0,7001.25,7044.25,7067,6951,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,42.293,0.214,42.286,42.22,42.43,42.565,42.011
0.75,59.333,50.946,71.569,5.268,57.95,56.777,59.775,62.334,52.892,50.677,45.3,55.394,3.034,50.704,47.984,53.218,55.394,45.3,0.0,187.012,307.85,308.0,301.25,318.0,326,286,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.872,0.856,0.885,0.007,0.873,0.869,0.877,0.885,0.863,140.6,0.0,36.227,0.153,56.4,0.0,2595.75,2556,2642,22.799,2593.5,2575.5,2616.0,2642,2556,7430.35,7346,7490,40.411,7431.5,7410.75,7460.75,7490,7346,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,36.682,0.19,36.646,36.594,36.819,37.086,36.437
0.8,64.742,53.556,99.25,10.371,61.248,59.174,66.379,70.189,53.556,46.122,35.703,57.157,5.094,45.011,42.598,48.917,57.157,35.703,0.025,181.1,348.3,348.0,341.0,354.0,364,327,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.029,0.027,0.874,0.862,0.889,0.009,0.872,0.865,0.882,0.889,0.862,140.6,0.0,27.835,0.197,56.4,0.0,1993.8,1966,2020,17.42,1996.0,1976.75,2008.25,2020,1966,8033.85,7958,8086,30.287,8034.5,8023.5,8049.25,8086,7988,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,28.183,0.246,28.176,28.037,28.337,28.688,27.753
0.85,63.892,50.386,90.182,11.905,61.542,54.021,70.562,90.182,50.386,43.192,30.063,56.474,8.146,42.736,37.933,50.918,56.474,30.063,0.025,163.762,353.4,355.0,351.75,356.0,360,348,0.028,0.027,0.029,0.0,0.028,0.028,0.028,0.028,0.028,0.868,0.849,0.881,0.009,0.866,0.861,0.876,0.881,0.849,140.6,0.0,22.245,0.105,56.4,0.0,1591.4,1524,1625,23.657,1594.0,1578.75,1609.0,1625,1561,8443.05,8345,8494,40.784,8456.5,8429.5,8470.25,8494,8385,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,22.51,0.107,22.529,22.431,22.571,22.732,22.337
0.9,51.824,49.516,59.779,3.02,50.383,49.829,52.24,54.322,49.516,32.006,28.607,42.89,4.075,30.223,29.141,32.87,38.249,28.607,0.088,118.427,355.8,356.0,356.0,356.0,356,356,0.028,0.027,0.03,0.001,0.028,0.028,0.029,0.03,0.027,0.865,0.837,0.897,0.014,0.865,0.86,0.871,0.876,0.843,140.6,0.0,13.896,0.136,56.4,0.0,998.4,973,1033,15.124,999.0,987.5,1009.25,1033,973,9037.8,8943,9116,45.495,9042.0,9008.25,9063.75,9116,8943,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,14.051,0.158,14.047,13.934,14.167,14.342,13.716
0.95,49.757,49.501,50.524,0.341,49.579,49.511,49.893,50.353,49.501,29.011,28.581,30.283,0.569,28.714,28.598,29.25,30.194,28.581,0.145,104.228,356.0,356.0,356.0,356.0,356,356,0.028,0.026,0.03,0.001,0.028,0.027,0.028,0.03,0.026,0.871,0.821,0.929,0.023,0.869,0.856,0.887,0.929,0.821,140.6,0.0,8.372,0.067,56.4,0.0,592.35,569,619,12.523,590.5,583.5,601.25,619,569,9426.5,9333,9496,47.32,9438.5,9390.5,9457.75,9496,9333,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.484,0.071,8.49,8.43,8.548,8.577,8.3
