generation,entity_id,alpha,theta,max_field_sizes,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
1,2,4.26,2.2,64,1.759,1.121,3.017,0.522,1.676,1.367,1.899,2.434,1.121,3.487,0.952,12.322,3.46,1.865,1.259,3.988,7.6,0.952,0.0,0.0,0.0,0.0,33.838,5.0,120.0,36.003,0.027,0.998,8.128,7.8,8.58,0.214,8.09,7.98,8.33,8.58,7.8,406.4,390.0,429.0,10.698,404.5,399.0,416.5,429.0,390.0,0.11088975715305244
1,3,6.72,1.32,30,1.911,1.469,4.263,0.609,1.745,1.57,1.865,2.178,1.469,2.684,1.212,14.227,2.936,1.613,1.423,1.82,2.033,1.212,0.0,0.0,0.0,0.0,21.225,6.5,106.0,26.25,0.029,1.0,4.066,3.88,4.28,0.101,4.05,4.0,4.125,4.28,3.88,203.3,194.0,214.0,5.041,202.5,200.0,206.25,214.0,194.0,0.09170163524379406
1,4,9.68,1.42,71,2.198,1.697,2.964,0.304,2.109,1.994,2.393,2.964,1.697,1.982,1.251,3.476,0.553,1.801,1.611,2.276,2.954,1.251,0.0,0.0,0.0,0.0,12.0,6.0,20.5,4.72,0.027,1.0,5.627,5.36,5.8,0.1,5.64,5.56,5.7,5.8,5.36,281.35,268.0,290.0,4.993,282.0,278.0,285.0,290.0,268.0,0.06412794824614637
1,5,12.86,2.22,64,4.604,3.173,6.932,0.814,4.641,3.948,4.827,5.548,3.173,3.842,2.467,8.306,1.14,3.628,3.441,3.811,4.1,2.976,0.0,0.0,0.0,0.0,18.513,12.0,37.5,5.873,0.027,1.0,2.509,2.36,2.62,0.068,2.54,2.455,2.56,2.62,2.36,125.45,118.0,131.0,3.398,127.0,122.75,128.0,131.0,118.0,0.0031674485536682955
1,6,3.78,0.46,83,7.189,3.042,23.871,4.333,6.527,5.149,7.535,8.971,3.042,24.019,14.982,44.015,6.543,23.317,19.72,27.839,32.423,14.982,0.0,0.0,0.0,0.0,155.45,114.5,184.5,20.284,0.025,0.976,52.981,51.98,53.88,0.538,53.0,52.575,53.33,53.88,51.98,2649.05,2599.0,2694.0,26.901,2650.0,2628.75,2666.5,2694.0,2599.0,0.00012516047728680708
1,7,7.04,3.08,51,3.054,2.065,4.607,0.526,2.994,2.756,3.18,3.759,2.498,2.944,1.715,10.074,1.755,2.439,2.202,2.728,3.374,1.715,0.0,0.0,0.0,0.0,17.538,8.25,90.5,17.318,0.028,1.0,2.988,2.82,3.12,0.083,2.99,2.935,3.05,3.12,2.82,149.4,141.0,156.0,4.128,149.5,146.75,152.5,156.0,141.0,0.021982519189706336
1,8,5.58,4.78,38,3.459,2.372,4.114,0.427,3.479,3.223,3.754,4.114,2.937,3.115,2.333,4.122,0.544,2.914,2.704,3.618,4.122,2.333,0.0,0.0,0.0,0.0,16.975,10.75,28.0,4.627,0.029,1.0,2.258,2.06,2.4,0.082,2.25,2.215,2.325,2.4,2.06,112.9,103.0,120.0,4.122,112.5,110.75,116.25,120.0,103.0,0.013254132446025435
1,9,10.22,1.0,6,3.495,2.573,5.525,0.825,3.07,2.943,4.08,5.525,2.573,5.036,1.939,14.637,4.175,2.536,2.287,7.626,14.637,1.939,0.0,0.0,0.0,0.0,30.638,8.5,100.0,30.378,0.03,1.0,1.024,1.0,1.1,0.025,1.02,1.0,1.04,1.1,1.0,51.2,50.0,55.0,1.249,51.0,50.0,52.0,55.0,50.0,0.012664759553910391
1,10,9.92,2.52,86,4.165,2.634,8.029,1.307,3.932,3.256,4.717,6.024,2.634,4.632,2.032,14.604,3.12,3.358,2.667,5.658,9.111,2.032,0.0,0.0,0.0,0.0,29.663,10.0,93.25,25.013,0.026,1.0,3.84,3.6,3.96,0.094,3.84,3.795,3.9,3.96,3.7,192.0,180.0,198.0,4.722,192.0,189.75,195.0,198.0,185.0,0.0054842078829202764
1,11,6.64,5.32,28,4.274,3.118,5.725,0.591,4.153,3.911,4.595,5.31,3.118,3.658,2.596,4.983,0.572,3.536,3.202,4.059,4.983,2.596,0.0,0.0,0.0,0.0,18.125,11.5,24.25,3.595,0.029,1.0,1.456,1.32,1.64,0.076,1.44,1.4,1.505,1.64,1.32,72.8,66.0,82.0,3.789,72.0,70.0,75.25,82.0,66.0,0.0047861033740249845
