generation,entity_id,field_ratio_threshold,J1,J0,pos_error_mean_mean,pos_error_mean_min,pos_error_mean_max,pos_error_mean_std,pos_error_mean_median,pos_error_mean_q1,pos_error_mean_q3,pos_error_mean_whishi,pos_error_mean_whislo,pos_error_std_mean,pos_error_std_min,pos_error_std_max,pos_error_std_std,pos_error_std_median,pos_error_std_q1,pos_error_std_q3,pos_error_std_whishi,pos_error_std_whislo,pos_error_min_mean,pos_error_min_min,pos_error_min_max,pos_error_min_std,pos_error_max_mean,pos_error_max_min,pos_error_max_max,pos_error_max_std,mean_field_activity_mean,perc_correct_fields_mean,avg_num_fields_per_neuron_mean,avg_num_fields_per_neuron_min,avg_num_fields_per_neuron_max,avg_num_fields_per_neuron_std,avg_num_fields_per_neuron_median,avg_num_fields_per_neuron_q1,avg_num_fields_per_neuron_q3,avg_num_fields_per_neuron_whishi,avg_num_fields_per_neuron_whislo,avg_accum_field_coverage_per_neuron_mean,avg_accum_field_coverage_per_neuron_std,avg_accum_field_coverage_per_neuron_median,avg_accum_field_coverage_per_neuron_q1,avg_accum_field_coverage_per_neuron_q3,avg_accum_field_coverage_per_neuron_whishi,avg_accum_field_coverage_per_neuron_whislo,num_fields_total_mean,num_fields_total_min,num_fields_total_max,num_fields_total_std,num_fields_total_median,num_fields_total_q1,num_fields_total_q3,num_fields_total_whishi,num_fields_total_whislo,fitness
19,10,0.44,0.8,-0.58,49.126,47.219,50.324,0.76,49.114,48.817,49.55,50.324,47.935,28.289,27.186,29.158,0.577,28.421,27.949,28.831,29.158,27.186,0.567,0.006,2.658,0.823,100.449,94.359,107.322,3.056,0.001,0.019,113.868,113.0,114.38,0.384,113.91,113.585,114.185,114.38,113.0,35.957,0.005,35.958,35.955,35.96,35.963,35.948,5693.4,5650.0,5719.0,19.184,5695.5,5679.25,5709.25,5719.0,5650.0,2.1439777590649076e-27
19,11,0.3,0.64,-0.8,49.139,47.552,50.036,0.599,49.352,48.924,49.422,50.036,48.52,28.466,27.316,30.072,0.616,28.425,28.141,28.725,29.433,27.316,0.467,0.024,3.057,0.865,101.942,97.529,107.629,2.847,0.001,0.019,113.891,113.2,114.72,0.429,113.86,113.595,114.225,114.72,113.2,35.956,0.005,35.957,35.95,35.96,35.965,35.947,5694.55,5660.0,5736.0,21.437,5693.0,5679.75,5711.25,5736.0,5660.0,2.1091240737090903e-27
19,12,0.02,1.0,-0.44,49.075,48.081,50.459,0.574,48.88,48.74,49.447,50.459,48.081,28.422,26.778,29.651,0.732,28.442,28.171,28.808,29.651,27.629,0.276,0.009,2.679,0.566,103.423,98.485,106.546,2.11,0.001,0.018,113.973,113.34,114.66,0.375,114.08,113.715,114.205,114.66,113.34,35.956,0.005,35.957,35.952,35.961,35.966,35.945,5698.65,5667.0,5733.0,18.749,5704.0,5685.75,5710.25,5733.0,5667.0,2.2830774398180408e-27
19,13,0.55,1.0,-0.32,48.929,47.847,50.325,0.664,48.917,48.533,49.334,50.325,47.847,28.329,27.567,28.936,0.411,28.442,27.958,28.652,28.936,27.567,0.611,0.07,2.503,0.849,102.49,98.24,107.57,2.186,0.001,0.02,113.928,113.22,114.66,0.406,113.93,113.74,114.195,114.66,113.22,35.958,0.004,35.958,35.956,35.96,35.962,35.951,5696.4,5661.0,5733.0,20.301,5696.5,5687.0,5709.75,5733.0,5661.0,2.7403954111043888e-27
19,14,0.02,1.0,-0.26,49.028,47.54,50.12,0.599,49.17,48.627,49.393,50.12,47.54,28.381,25.772,29.776,0.815,28.599,28.153,28.735,29.245,27.33,0.257,0.009,2.223,0.473,102.859,98.398,111.103,3.469,0.001,0.02,113.964,113.26,114.76,0.376,114.02,113.715,114.185,114.76,113.26,35.956,0.005,35.957,35.952,35.96,35.967,35.946,5698.2,5663.0,5738.0,18.809,5701.0,5685.75,5709.25,5738.0,5663.0,2.423382849219507e-27
19,15,0.72,1.16,-0.78,49.161,48.071,50.485,0.567,49.299,48.751,49.405,50.171,48.071,28.385,26.432,29.584,0.712,28.364,28.05,28.841,29.584,27.57,0.326,0.003,3.29,0.703,102.161,98.684,106.994,2.229,0.001,0.019,113.884,113.08,114.68,0.378,113.82,113.71,114.145,114.68,113.08,35.956,0.005,35.956,35.953,35.959,35.966,35.948,5694.2,5654.0,5734.0,18.907,5691.0,5685.5,5707.25,5734.0,5654.0,2.052202583351698e-27
19,16,0.02,0.46,-0.22,49.242,47.448,50.346,0.657,49.344,49.005,49.617,50.346,48.754,28.632,26.643,29.529,0.654,28.835,28.428,28.977,29.529,28.125,0.256,0.003,1.809,0.376,102.058,96.757,112.11,3.474,0.001,0.02,113.974,113.2,114.72,0.373,113.97,113.695,114.185,114.72,113.2,35.955,0.005,35.955,35.952,35.959,35.963,35.946,5698.7,5660.0,5736.0,18.671,5698.5,5684.75,5709.25,5736.0,5660.0,1.8547036091546646e-27
19,17,0.24,1.0,-0.32,49.248,47.794,50.198,0.624,49.32,48.886,49.551,50.198,48.044,28.359,27.488,29.094,0.45,28.401,28.174,28.655,29.094,27.488,0.479,0.06,2.159,0.611,101.461,95.637,108.581,2.891,0.001,0.02,113.933,113.32,114.92,0.351,113.9,113.675,114.17,114.42,113.32,35.957,0.005,35.957,35.955,35.959,35.966,35.948,5696.65,5666.0,5746.0,17.562,5695.0,5683.75,5708.5,5721.0,5666.0,1.8389581665987984e-27
19,18,0.3,0.64,-0.64,49.334,48.207,50.183,0.597,49.363,48.905,49.858,50.183,48.207,28.574,27.632,30.616,0.704,28.456,28.102,28.888,29.572,27.632,0.301,0.003,2.295,0.53,101.558,98.65,108.272,2.801,0.001,0.018,114.024,113.3,114.66,0.321,114.02,113.795,114.285,114.66,113.3,35.958,0.005,35.958,35.956,35.961,35.963,35.951,5701.2,5665.0,5733.0,16.074,5701.0,5689.75,5714.25,5733.0,5665.0,1.6527341045633955e-27
19,19,0.35,0.54,-0.28,49.164,46.693,50.109,0.743,49.346,49.059,49.581,50.109,48.391,28.423,26.472,29.395,0.62,28.512,28.327,28.713,28.921,27.809,0.313,0.015,2.667,0.61,102.38,95.079,114.135,4.223,0.001,0.02,113.888,112.96,114.84,0.427,113.91,113.615,114.12,114.84,112.96,35.958,0.006,35.958,35.953,35.961,35.972,35.948,5694.4,5648.0,5742.0,21.355,5695.5,5680.75,5706.0,5742.0,5648.0,2.0431571092486172e-27
